City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
182,Konstantinovsk,47.5828,41.0922,broken clouds,43.97,53,82,8.48,RU
183,Pascagoula,30.3658,-88.5561,clear sky,87.57,57,0,5.75,US
184,Kununurra,-15.7667,128.7333,few clouds,73.38,33,15,6.91,AU
185,Bengkulu,-3.8004,102.2655,overcast clouds,77.18,83,100,4.83,ID
186,Lebu,-37.6167,-73.65,clear sky,53.58,90,5,4.56,CL
187,Karaton,-6.3424,106.1045,overcast clouds,74.23,95,100,4.83,ID
188,Harper,4.375,-7.7169,overcast clouds,81.28,82,100,8.75,LR
189,Lindi,-10.0,39.7167,few clouds,70.47,98,13,4.56,TZ
190,Swabi,34.1199,72.4699,clear sky,78.06,26,0,5.77,PK
191,Russell,32.3502,-85.1999,few clouds,78.4,48,20,11.5,US
192,Zhob,31.3411,69.4481,clear sky,75.34,19,0,4.23,PK
193,Quatre Cocos,-20.2078,57.7625,scattered clouds,76.08,77,28,14.16,MU
194,Sitka,57.0531,-135.33,scattered clouds,49.89,57,40,9.22,US
195,Egvekinot,66.3167,-179.1667,overcast clouds,24.89,96,100,6.04,RU
196,Bodden Town,19.2833,-81.25,scattered clouds,84.99,77,40,8.05,KY
197,Kunming,25.0389,102.7183,overcast clouds,57.13,94,100,4.47,CN
198,Laguna,38.421,-121.4238,clear sky,76.95,32,0,8.05,US
199,Pasni,25.2631,63.471,clear sky,80.02,81,0,11.43,PK
200,Luwuk,-0.9516,122.7875,broken clouds,80.33,88,77,3.04,ID
201,Tra Vinh,9.9347,106.3453,overcast clouds,79.43,87,100,7.31,VN
202,Nome,64.5011,-165.4064,light snow,33.17,93,100,13.8,US
203,Thio,-21.6167,166.2167,overcast clouds,78.76,61,93,12.53,NC
204,Kenai,60.5544,-151.2583,clear sky,58.03,50,0,10.36,US
205,Melfi,40.9965,15.6514,overcast clouds,55.49,98,100,4.38,IT
206,Tiksi,71.6872,128.8694,few clouds,12.88,89,16,5.86,RU
207,Praya,14.9215,-23.5087,scattered clouds,72.14,73,40,19.57,CV
208,Aden,12.7794,45.0367,broken clouds,84.31,73,65,4.29,YE
209,Kenora,49.8167,-94.4337,broken clouds,72.57,30,75,19.57,CA
210,Colonia Leopoldina,-8.9089,-35.725,broken clouds,74.05,91,51,2.77,BR
211,Margate,51.3813,1.3862,clear sky,50.11,90,3,5.01,GB
212,Faanui,-16.4833,-151.75,light rain,81.48,74,8,5.77,PF
213,Olafsvik,64.8945,-23.7142,light rain,43.02,88,100,13.58,IS
214,Thompson,55.7435,-97.8558,overcast clouds,66.36,48,100,6.91,CA
215,Talnakh,69.4865,88.3972,clear sky,9.97,85,4,12.15,RU
216,Koumac,-20.5667,164.2833,broken clouds,78.82,58,60,7.63,NC
217,Peleduy,59.6289,112.7406,overcast clouds,42.57,65,100,14.2,RU
218,Mayumba,-3.432,10.6554,overcast clouds,76.57,87,89,2.8,GA
219,Pervomayskoye,43.919,46.7102,overcast clouds,47.59,79,100,13.8,RU
220,Gamba,-2.65,10.0,broken clouds,75.92,86,51,1.86,GA
221,Mar Del Plata,-38.0023,-57.5575,clear sky,65.95,75,0,11.5,AR
222,Mitsamiouli,-11.3847,43.2844,few clouds,80.82,77,14,4.29,KM
223,Ilulissat,69.2167,-51.1,clear sky,28.42,64,10,8.05,GL
224,Ribeira Grande,38.5167,-28.7,broken clouds,61.81,63,51,1.95,PT
225,Bethel,41.3712,-73.414,light rain,51.89,71,100,9.22,US
226,Klyuchi,52.2667,79.1667,clear sky,37.04,41,0,2.39,RU
227,Setubal,38.5244,-8.8882,broken clouds,68.0,58,77,5.1,PT
228,Sturgis,41.7992,-85.4192,clear sky,66.33,31,0,8.05,US
229,Biltine,14.5333,20.9167,scattered clouds,88.21,11,47,7.27,TD
230,Miraflores,19.2167,-98.8083,broken clouds,84.87,32,65,5.64,MX
231,Souillac,-20.5167,57.5167,few clouds,74.84,81,19,12.57,MU
232,Puqi,29.7167,113.8833,overcast clouds,72.14,80,91,0.78,CN
233,Lewistown,40.5992,-77.5714,light rain,50.61,96,100,6.91,US
234,Pafos,34.7667,32.4167,clear sky,60.58,48,0,3.44,CY
235,Manta,-0.95,-80.7333,overcast clouds,76.78,83,100,13.8,EC
236,Umm Kaddadah,13.6017,26.6876,scattered clouds,79.47,10,48,13.67,SD
237,Obihiro,42.9172,143.2044,scattered clouds,51.76,56,25,14.72,JP
238,Kalevala,65.2,31.1667,broken clouds,34.36,92,75,7.63,RU
239,Cabo San Lucas,22.8909,-109.9124,clear sky,88.61,54,0,12.12,MX
240,Paka,4.6374,103.4368,overcast clouds,76.98,100,100,0.0,MY
241,Pisco,-13.7,-76.2167,clear sky,69.85,73,0,10.36,PE
242,Presidente Medici,-11.1753,-61.9014,clear sky,75.72,80,7,2.17,BR
243,Aliwal North,-30.6937,26.7114,light rain,51.96,84,100,1.61,ZA
244,Sabha,27.0377,14.4283,clear sky,75.54,21,0,8.37,LY
245,Saint George,37.1041,-113.5841,clear sky,91.63,12,0,18.41,US
246,Mahajanga,-15.7167,46.3167,few clouds,77.02,88,20,2.3,MG
247,East London,-33.0153,27.9116,heavy intensity rain,61.65,93,100,14.9,ZA
248,Plettenberg Bay,-34.0527,23.3716,overcast clouds,57.47,83,99,2.89,ZA
249,Klaksvik,62.2266,-6.589,overcast clouds,43.72,81,96,10.42,FO
250,Vorobyevka,50.6451,40.9245,clear sky,42.69,60,0,3.47,RU
251,Humberto De Campos,-2.5983,-43.4611,overcast clouds,76.33,92,96,3.94,BR
252,Vallenar,-28.5708,-70.7581,overcast clouds,60.98,71,100,4.59,CL
253,Eenhana,-17.4667,16.3333,scattered clouds,63.93,37,26,3.89,NA
254,Lubbock,33.6001,-101.8338,broken clouds,100.65,3,75,25.32,US
255,Sesvete,45.8311,16.1164,fog,59.67,84,100,1.14,HR
256,Kudahuvadhoo,2.6708,72.8944,overcast clouds,83.77,78,93,13.09,MV
257,Palatka,29.6486,-81.6376,clear sky,85.05,45,0,11.45,US
258,Bati,11.1833,40.0167,moderate rain,68.86,57,42,2.04,ET
259,Manzhouli,49.6,117.4333,clear sky,49.05,37,3,5.48,CN
260,Carahue,-38.7,-73.1667,few clouds,52.47,86,11,2.15,CL
261,Severomorsk,69.0689,33.4162,broken clouds,37.8,67,52,21.92,RU
262,Fortuna,40.5982,-124.1573,overcast clouds,59.86,72,100,11.5,US
263,Lavrentiya,65.5833,-171.0,broken clouds,32.11,87,84,6.44,RU
264,Zagar,46.35,24.6167,broken clouds,49.48,77,76,3.51,RO
