City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Maridi,SS,67.71,broken clouds,4.9158,29.4742,
143,Kirakira,SB,83.57,broken clouds,-10.4544,161.9205,SanBiz Lodge
144,Srandakan,ID,77.11,overcast clouds,-7.9386,110.2506,Puri Brata
145,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
150,Kearney,US,77.56,few clouds,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
151,Carberry,CA,68.23,overcast clouds,49.8689,-99.3602,Carberry Motor Inn
152,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
157,Lisala,CD,71.71,light rain,2.15,21.5167,Guest house Eden
158,Sola,VU,81.95,clear sky,-13.8833,167.55,Leumerus Bungalows
159,Ponta Do Sol,PT,63.23,scattered clouds,32.6667,-17.1,Hotel do Campo
161,Touros,BR,77.09,light rain,-5.1989,-35.4608,INN NEW HORIZON
163,Nimaparha,IN,79.2,clear sky,20.0667,86.0167,Gopinatha sweet
164,Kalmunai,LK,80.44,overcast clouds,7.4167,81.8167,VS Villa
166,Nalut,LY,64.87,clear sky,30.3333,10.85,
167,Houma,US,88.02,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
168,Namibe,AO,72.1,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
169,Tomatlan,MX,86.63,clear sky,19.9333,-105.25,El Salvial
170,Vila Franca Do Campo,PT,67.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
171,Catamarca,AR,65.59,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
172,Araure,VE,75.58,broken clouds,9.5601,-69.2148,Hotel Las Majaguas
173,Umm Lajj,SA,76.44,clear sky,25.0213,37.2685,Moon light Furnished Units
174,Bafia,CM,70.99,overcast clouds,4.75,11.2333,Hotel born beyem
177,Itarema,BR,77.72,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
179,Bambous Virieux,MU,77.22,few clouds,-20.3428,57.7575,Casa Tia Villa
180,San Juan,AR,69.51,overcast clouds,-31.5375,-68.5364,Hotel Provincial
183,Pascagoula,US,87.57,clear sky,30.3658,-88.5561,Regency Inn
184,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
185,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
187,Karaton,ID,74.23,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
188,Harper,LR,81.28,overcast clouds,4.375,-7.7169,Screensaver
189,Lindi,TZ,70.47,few clouds,-10.0,39.7167,Lindi paradise house
190,Swabi,PK,78.06,clear sky,34.1199,72.4699,راجو چھولے فروش
191,Russell,US,78.4,few clouds,32.3502,-85.1999,Macs
